type,year,country,host,start,end,disabilities_included,countries,events,sports,participants_m,participants_f,participants,highlights,URL
summer,2024,France,Paris,28/08/2024,08/09/2024,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",169.0,549.0,22,2551.0,2016.0,4567.0,First summer games in France. The first time the Paralympic Opening Ceremony was held outside of a stadium,https://www.paralympic.org/paris-2024
summer,2028,USA,Los Angeles,15/08/2028,27/08/2028,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres, Intellectual Disability",,,22,,,,,https://www.paralympic.org/la-2028
winter,1976,Sweden,Ornskoldsvik,21/02/1976,28/02/1976,Spinal injury,16.0,53.0,2,161.0,37.0,198.0,Demonstration event: Sledge Racing,https://www.paralympic.org/ornskoldsvik-1976
winter,1980,Norway,Geilo,02/02/1980,08/02/1980,"Spinal injury, Amputee, Vision Impairment, Les Autres",18.0,64.0,2,229.0,70.0,299.0,Demonstration event: Downhill Sledge Racing,https://www.paralympic.org/geilo-1980
winter,1984,Austria,Innsbruck,15/01/1984,21/01/1984,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",21.0,107.0,3,325.0,94.0,419.0,Demonstration event at Olympics in Sarajevo: Giant Slalom.,https://www.paralympic.org/innsbruck-1984
winter,1988,Austria,Innsbruck,18/01/1988,25/01/1988,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",22.0,97.0,4,300.0,77.0,377.0,Sit-Ski events introduced in the sports of Alpine and Nordic Skiing,https://www.paralympic.org/innsbruck-1988
winter,1992,France,Tignes-Albertville,25/03/1992,02/04/1992,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",24.0,79.0,3,288.0,77.0,365.0,Biathlon added as a discipline. Demonstration events: Alpine and Cross Country Skiing for athletes with an intellectual disability. First Games to share Olympic venues. Continued ever since,https://www.paralympic.org/tignes-albertville-1992
winter,1994,Norway,Lillehammer,10/03/1994,19/03/1994,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",31.0,133.0,5,39.0,90.0,129.0,Ice Sledge Hockey added as a sport,https://www.paralympic.org/lillehammer-1994
winter,1998,Japan,Nagano,07/03/1998,16/03/1998,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",31.0,122.0,5,440.0,122.0,562.0,Demonstrated rising media interest in Paralympic Winter Sport,https://www.paralympic.org/nagano-1998
winter,2002,USA,Salt Lake City,09/03/2002,18/03/2002,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",36.0,92.0,4,328.0,87.0,415.0,Number of tickets on sale had to be augmented due to high demand,https://www.paralympic.org/salt-lake-city-2002
winter,2006,Italy,Torino,12/03/2006,21/03/2006,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",38.0,58.0,5,375.0,99.0,474.0,Wheelchair Curling added as a new sport.,https://www.paralympic.org/torino-2006
winter,2010,Canada,Vancouver,12/03/2010,21/03/2010,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",44.0,64.0,5,381.0,121.0,502.0,"Ticket sales exceeded 230,000, the most ever.",https://www.paralympic.org/vancouver-2010
winter,2014,Russia,Sochi,07/03/2014,16/03/2014,"Spinal injury, Amputee, Vision Impairment, Cerebral Palsy, Les Autres",45.0,72.0,6,411.0,129.0,540.0,"316,200 tickets were sold, the most ever for Paralympic Winter Games. Para snowboard made its Paralympic Winter Games debut as part of IPC Alpine Skiing.",https://www.paralympic.org/sochi-2014
winter,2018,Korea,PyeongChang,09/03/2018,18/03/2018,"Spinal injury, Amputee, Vision Impairment, Cerebral",49.0,80.0,6,430.0,133.0,563.0,"Record numbers of spectators (343,000), accredited media (629) and international viewers outside of the host nation (1.87bn)",https://www.paralympic.org/pyeongchang-2018
winter,2022,China,Beijing,04/03/2022,13/03/2022,"Spinal injury, Amputee, Vision Impairment, Cerebral",46.0,78.0,6,422.0,136.0,558.0,Record number of female Para athletes (136) took part in the Games.,https://www.paralympic.org/beijing-2022
winter,2026,Italy,Milano Cortina,06/03/2026,15/03/2026,"Spinal injury, Amputee, Vision Impairment, Cerebral",,79.0,6,,,,,https://www.paralympic.org/milano-cortina-2026
